time,yaw,pitch,roll
2018-10-14 20:12:21.5370,-48.08,39.3,9.6
2018-10-14 20:12:21.6270,-57.81,35.87,0.33
2018-10-14 20:12:21.7220,-69.76,38.31,-0.08
2018-10-14 20:12:21.8120,-82.07,45.7,8.21
2018-10-14 20:12:21.9020,-97.17,55.41,26.42
2018-10-14 20:12:21.9920,-119.56,64.22,56.2
2018-10-14 20:12:22.0820,-151.39,67.72,97.09
2018-10-14 20:12:22.1770,-178.92,64.02,132.53
2018-10-14 20:12:22.2670,168.53,58.82,152.94
2018-10-14 20:12:22.3570,162.81,56.09,164.46
2018-10-14 20:12:22.4470,161.35,56.96,169.04
2018-10-14 20:12:22.5370,162.97,61.35,171.15
2018-10-14 20:12:22.6270,167.92,68.54,168.67
2018-10-14 20:12:22.7220,-177.06,77.39,157.71
2018-10-14 20:12:22.8120,-120.65,83.24,103.22
2018-10-14 20:12:22.9020,-58.83,77.02,43.36
2018-10-14 20:12:22.9920,-43.14,66.46,29.59
2018-10-14 20:12:23.0820,-37.5,56.23,25.33
2018-10-14 20:12:23.1770,-36.1,46.24,22.99
2018-10-14 20:12:23.2670,-39.25,37.06,17.64
2018-10-14 20:12:23.3570,-47.56,29.24,9.2
2018-10-14 20:12:23.4470,-58.94,25.69,2.85
2018-10-14 20:12:23.5380,-72.03,28.3,2.8
2018-10-14 20:12:23.6330,-86.43,37.0,13.43
2018-10-14 20:12:23.7230,-101.43,47.16,31.99
2018-10-14 20:12:23.8120,-119.89,56.28,57.98
2018-10-14 20:12:23.9020,-143.82,61.75,90.98
2018-10-14 20:12:23.9930,-167.04,61.96,123.07
2018-10-14 20:12:24.0830,178.31,60.12,144.76
2018-10-14 20:12:24.1770,170.27,59.72,157.75
2018-10-14 20:12:24.2670,167.5,62.27,165.13
2018-10-14 20:12:24.3570,168.95,68.03,166.62
2018-10-14 20:12:24.4480,178.14,75.76,160.94
2018-10-14 20:12:24.5380,-145.11,83.0,126.65
2018-10-14 20:12:24.6330,-64.11,80.02,48.75
2018-10-14 20:12:24.7230,-42.93,69.62,28.32
2018-10-14 20:12:24.8130,-37.22,57.81,19.31
2018-10-14 20:12:24.9030,-37.1,46.17,11.99
2018-10-14 20:12:24.9930,-40.2,36.11,4.12
2018-10-14 20:12:25.0880,-46.54,28.55,-5.71
2018-10-14 20:12:25.1830,-55.48,24.99,-13.6
2018-10-14 20:12:25.2730,-65.32,26.64,-14.54
2018-10-14 20:12:25.3630,-75.67,33.68,-8.21
2018-10-14 20:12:25.4530,-87.49,44.66,6.49
2018-10-14 20:12:25.5480,-105.06,56.7,30.96
2018-10-14 20:12:25.6380,-131.08,64.49,67.0
2018-10-14 20:12:25.7280,-159.95,65.63,105.92
2018-10-14 20:12:25.8180,-177.6,63.31,132.28
2018-10-14 20:12:25.9080,174.83,61.79,146.54
2018-10-14 20:12:26.0030,173.11,62.99,153.78
2018-10-14 20:12:26.0930,175.05,67.61,155.91
2018-10-14 20:12:26.1830,-174.89,75.23,149.25
2018-10-14 20:12:26.2730,-129.54,82.3,105.41
2018-10-14 20:12:26.3630,-63.33,77.48,40.71
2018-10-14 20:12:26.4580,-44.88,66.56,23.46
2018-10-14 20:12:26.5480,-38.77,55.82,16.5
2018-10-14 20:12:26.6380,-37.03,44.8,12.26
2018-10-14 20:12:26.7280,-39.5,33.85,7.84
2018-10-14 20:12:26.8180,-45.33,24.75,1.15
2018-10-14 20:12:26.9130,-54.03,20.03,-6.17
2018-10-14 20:12:27.0030,-63.66,21.93,-8.7
2018-10-14 20:12:27.0930,-74.83,29.35,-4.39
2018-10-14 20:12:27.1880,-89.44,41.61,12.33
2018-10-14 20:12:27.2830,-110.03,54.55,41.68
2018-10-14 20:12:27.3730,-138.88,62.47,80.88
2018-10-14 20:12:27.4630,-168.43,62.63,119.72
2018-10-14 20:12:27.5530,175.0,59.68,143.63
2018-10-14 20:12:27.6430,168.71,58.82,155.35
2018-10-14 20:12:27.7380,168.38,62.4,160.35
2018-10-14 20:12:27.8280,173.54,69.98,158.53
2018-10-14 20:12:27.9180,-167.06,79.4,141.95
2018-10-14 20:12:28.0080,-84.69,82.56,61.7
2018-10-14 20:12:28.0980,-45.95,72.05,23.66
2018-10-14 20:12:28.1930,-38.15,58.51,16.33
2018-10-14 20:12:28.2830,-37.08,45.97,13.4
2018-10-14 20:12:28.3730,-39.35,34.53,10.3
2018-10-14 20:12:28.4630,-44.3,25.71,3.83
2018-10-14 20:12:28.5530,-52.08,21.21,-2.22
2018-10-14 20:12:28.6430,-62.44,22.1,-6.2
2018-10-14 20:12:28.7380,-75.23,27.87,-3.96
2018-10-14 20:12:28.8280,-88.57,36.55,7.29
2018-10-14 20:12:28.9180,-103.99,46.62,27.29
2018-10-14 20:12:29.0080,-123.55,55.47,55.47
2018-10-14 20:12:29.0980,-146.66,59.99,88.18
2018-10-14 20:12:29.1930,-167.68,60.11,118.78
2018-10-14 20:12:29.2830,179.6,58.88,139.64
2018-10-14 20:12:29.3740,172.96,59.09,153.23
2018-10-14 20:12:29.4640,170.66,62.95,160.68
2018-10-14 20:12:29.5540,173.81,71.24,158.44
2018-10-14 20:12:29.6480,-157.67,81.9,131.9
2018-10-14 20:12:29.7380,-63.53,79.63,39.3
2018-10-14 20:12:29.8280,-43.21,66.29,20.4
2018-10-14 20:12:29.9190,-38.93,52.52,15.97
2018-10-14 20:12:30.0090,-39.44,40.12,13.73
2018-10-14 20:12:30.1040,-43.27,29.36,8.97
2018-10-14 20:12:30.1990,-50.11,21.82,1.1
2018-10-14 20:12:30.2890,-59.02,18.73,-6.11
2018-10-14 20:12:30.3780,-69.6,20.35,-8.01
2018-10-14 20:12:30.4740,-81.38,27.44,-1.46
2018-10-14 20:12:30.5640,-93.44,38.06,12.81
2018-10-14 20:12:30.6540,-108.37,49.69,34.1
2018-10-14 20:12:30.7440,-129.01,58.62,63.47
2018-10-14 20:12:30.8340,-153.06,62.03,98.03
2018-10-14 20:12:30.9290,-172.95,61.51,130.15
2018-10-14 20:12:31.0190,175.86,60.73,149.26
2018-10-14 20:12:31.1090,170.41,60.89,155.7
2018-10-14 20:12:31.1990,168.27,61.97,159.26
2018-10-14 20:12:31.2890,165.8,64.51,162.12
2018-10-14 20:12:31.3840,162.5,67.36,166.46
2018-10-14 20:12:31.4740,159.82,69.53,170.16
2018-10-14 20:12:31.5640,158.38,71.59,166.0
2018-10-14 20:12:31.6540,159.15,74.08,161.77
2018-10-14 20:12:31.7440,159.17,77.54,159.05
2018-10-14 20:12:31.8390,159.61,81.36,161.39
2018-10-14 20:12:31.9290,153.9,84.26,167.82
2018-10-14 20:12:32.0190,152.14,86.0,170.92
2018-10-14 20:12:32.1090,155.07,87.25,164.31
2018-10-14 20:12:32.2040,148.15,89.12,166.82
2018-10-14 20:12:32.2940,-27.32,88.31,-19.43
2018-10-14 20:12:32.3840,-27.12,86.66,-22.64
2018-10-14 20:12:32.4740,-30.85,85.17,-17.99
2018-10-14 20:12:32.5640,-31.42,82.37,-17.28
2018-10-14 20:12:32.6540,-34.77,77.43,-15.8
2018-10-14 20:12:32.7490,-39.21,70.74,-17.98
2018-10-14 20:12:32.8390,-43.72,62.61,-16.63
2018-10-14 20:12:32.9290,-47.5,52.56,-18.7
2018-10-14 20:12:33.0190,-49.64,43.44,-19.38
2018-10-14 20:12:33.1090,-50.38,36.44,-20.02
2018-10-14 20:12:33.2040,-51.03,31.77,-18.41
2018-10-14 20:12:33.2940,-50.78,29.56,-16.75
2018-10-14 20:12:33.3840,-49.03,29.22,-14.07
2018-10-14 20:12:33.4740,-48.19,26.84,-11.03
2018-10-14 20:12:33.5640,-46.08,25.42,-11.66
2018-10-14 20:12:33.6590,-43.8,24.68,-10.96
2018-10-14 20:12:33.7490,-43.24,23.57,-9.75
2018-10-14 20:12:33.8390,-43.84,21.38,-7.93
2018-10-14 20:12:33.9290,-44.72,19.05,-6.17
2018-10-14 20:12:34.0210,-44.4,18.38,-8.92
2018-10-14 20:12:34.1140,-43.88,18.52,-9.75
2018-10-14 20:12:34.2090,-43.21,18.98,-8.64
